"","fips","Total_water_use","heads","lb","COMMODITY_DESC","CLASS_DESC","UNIT_DESC","SHORT_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME"
"110","35043",7418.24774470697,6411,3626410.41,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","043","SANDOVAL"
"111","35045",7548.54826633937,6430,3690107.82,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","045","SAN JUAN"
"112","35047",32611.6584228291,22798,15942209.22,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","047","SAN MIGUEL"
"113","35049",16992.3494323412,11376,8306710.02,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","049","SANTA FE"
"114","35051",13512.3330469469,11087,6605504.01,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","051","SIERRA"
"115","35053",19945.3695612151,18981,9750293.91,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","053","SOCORRO"
"116","35055",3744.42178582387,2775,1830460.59,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","055","TAOS"
"117","35057",42235.0182878183,28093,20646588.69,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","057","TORRANCE"
"118","35059",144298.369008898,88041,70540257.69,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","35","NM","NEW MEXICO","059","UNION"
"119","35061",21666.784473765,17485,10591807.59,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","061","VALENCIA"
"120","49001",21836.2897207732,13865,10674670.23,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","001","BEAVER"
"121","49003",76209.6340595275,50250,37255079.61,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","003","BOX ELDER"
"122","49005",55256.2039275852,36318,27011995.29,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","005","CACHE"
"123","49007",4731.44627186253,3114,2312967.51,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","007","CARBON"
"124","49009",3939.76366983737,2589,1925953.47,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","009","DAGGETT"
"125","49011",3755.63252531451,2894,1835940.96,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","011","DAVIS"
"126","49013",55734.5374041117,36703,27245828.61,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","013","DUCHESNE"
"127","49015",16583.9339061062,10634,8107056.09,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","015","EMERY"
"128","49017",14320.8955507824,10220,7000769.79,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","017","GARFIELD"
