"","SECTOR_DESC","SHORT_DESC","COMMODITY_DESC","AGG_LEVEL_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME","To_acres","fips","crop","Ir_acres","Pct_irr"
"148","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","049","UTAH",13093,"49049","WHEAT",3819,29.17
"149","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","061","KIOWA",168831,"08061","WHEAT",489,0.29
"150","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",35,"NM","NEW MEXICO","059","UNION",5700,"35059","WHEAT",1098,19.26
"151","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","065","RIVERSIDE",13369,"06065","WHEAT",5319,39.79
"152","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","063","KIT CARSON",233352,"08063","WHEAT",16483,7.06
"153","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","067","SACRAMENTO",2499,"06067","WHEAT",1542,61.7
"154","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","069","LARIMER",3127,"08069","WHEAT",2261,72.31
"155","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","073","LINCOLN",126768,"08073","WHEAT",261,0.21
"156","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","077","SAN JOAQUIN",11254,"06077","WHEAT",7965,70.77
"157","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","075","LOGAN",118197,"08075","WHEAT",2185,1.85
"158","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","083","SANTA BARBARA",1021,"06083","WHEAT",1021,100
"159","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","083","MONTEZUMA",18115,"08083","WHEAT",12192,67.3
"160","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","087","MORGAN",61216,"08087","WHEAT",19456,31.78
"161","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","089","OTERO",1151,"08089","WHEAT",540,46.92
"162","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","093","SISKIYOU",6015,"06093","WHEAT",4967,82.58
"163","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","095","SOLANO",9404,"06095","WHEAT",3340,35.52
"164","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","095","PHILLIPS",95730,"08095","WHEAT",10150,10.6
"165","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","101","SUTTER",4921,"06101","WHEAT",1753,35.62
"166","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","099","PROWERS",122289,"08099","WHEAT",10820,8.85
"167","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","107","TULARE",16899,"06107","WHEAT",5480,32.43
"168","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","113","YOLO",24870,"06113","WHEAT",14398,57.89
"169","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","115","SEDGWICK",70420,"08115","WHEAT",2766,3.93
"170","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","121","WASHINGTON",219114,"08121","WHEAT",3360,1.53
"171","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","123","WELD",110603,"08123","WHEAT",15399,13.92
"172","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","125","YUMA",101158,"08125","WHEAT",5794,5.73
"173","CROPS","WHEAT, SPRING, DURUM - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","021","GLENN",380,"06021","WHEAT, SPRING, DURUM",380,100
"174","CROPS","WHEAT, SPRING, DURUM - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","025","IMPERIAL",19149,"06025","WHEAT, SPRING, DURUM",19130,99.9
"175","CROPS","WHEAT, SPRING, DURUM - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","109","SAGUACHE",685,"08109","WHEAT, SPRING, DURUM",685,100
"176","CROPS","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","003","BOX ELDER",3891,"49003","WHEAT, SPRING, (EXCL DURUM)",788,20.25
"177","CROPS","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","005","CACHE",2982,"49005","WHEAT, SPRING, (EXCL DURUM)",1309,43.9
"178","CROPS","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","039","SANPETE",212,"49039","WHEAT, SPRING, (EXCL DURUM)",119,56.13
"179","CROPS","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","083","MONTEZUMA",2497,"08083","WHEAT, SPRING, (EXCL DURUM)",1740,69.68
"180","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",4,"AZ","ARIZONA","001","APACHE",40,"04001","WHEAT, WINTER",40,100
